Ano-mes	INMET	ERA5-Land	ERA5	NASA POWER	CPC	CHIRPS
2024-01	214.4	108.2	115.4	118.9	161.0	145.2
2024-02	210.4	99.7	94.4	114.8	135.2	176.7
2024-03	97.2	84.6	83.5	111.6	98.2	84.0
2024-04	188.4	62.3	66.3	58.2	119.7	111.6
2024-05	22.8	24.0	26.2	16.0	22.2	15.9
2024-06	0.0	0.5	0.8	2.1	0.5	7.5
2024-07	42.0	16.1	22.5	6.2	28.2	7.4
2024-08	31.0	20.1	27.8	17.1	16.6	9.6
2024-09	40.2	7.7	5.0	6.7	18.8	21.2
2024-10	45.8	104.7	81.0	94.7	79.1	87.2
2024-11	333.2	196.7	207.7	195.2	170.0	224.1
2024-12	304.6	149.4	150.8	185.5	214.8	265.6
2025-01	59.0	136.3	128.4	81.2	62.2	101.1
2025-02	95.6	142.0	140.0	93.9	85.4	138.2
2025-03	148.4	50.8	51.9	58.1	90.2	117.6
2025-04	202.2	114.2	126.7	67.8	96.6	112.0
2025-05	30.6	17.9	19.4	9.5	13.7	28.4
2025-06	78.0	34.2	42.9	44.8	63.2	76.3
